dataset,policy,batch,budget,n,coverage,mean_k_lower,mean_k_upper,k20_lower,k20_upper,median_k_lower,p10_k_lower,empty_lower,empty_upper,at10_lower,at10_upper,at20_lower,at20_upper
msmarco-passage-trec-dl-2020,balanced,64,1024,54,1.0,29.72222222222222,29.72222222222222,17.537037037037038,17.537037037037038,28.5,10.0,0.0,0.0,0.9444444444444444,0.9444444444444444,0.6296296296296297,0.6296296296296297
msmarco-passage-trec-dl-2020,balanced,64,2048,54,1.0,34.907407407407405,34.907407407407405,18.333333333333332,18.333333333333332,32.5,13.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.7592592592592593,0.7592592592592593
msmarco-passage-trec-dl-2020,balanced,64,4096,54,1.0,41.72222222222222,41.72222222222222,18.87037037037037,18.87037037037037,37.0,15.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.7962962962962963,0.7962962962962963
msmarco-passage-trec-dl-2020,balanced,64,8192,54,1.0,45.111111111111114,45.111111111111114,19.166666666666668,19.166666666666668,42.5,16.3,0.0,0.0,1.0,1.0,0.8148148148148148,0.8148148148148148
msmarco-passage-trec-dl-2020,balanced,64,10000,54,1.0,46.68518518518518,46.68518518518518,19.25925925925926,19.25925925925926,44.0,17.0,0.0,0.0,1.0,1.0,0.8518518518518519,0.8518518518518519
msmarco-passage-trec-dl-2020,dibud,1,128,54,1.0,10.61111111111111,10.61111111111111,10.0,10.0,9.5,3.0,0.0,0.0,0.5,0.5,0.1111111111111111,0.1111111111111111
msmarco-passage-trec-dl-2020,dibud,1,256,54,1.0,17.25925925925926,17.25925925925926,13.833333333333334,13.833333333333334,13.5,6.0,0.0,0.0,0.7222222222222222,0.7222222222222222,0.35185185185185186,0.35185185185185186
msmarco-passage-trec-dl-2020,dibud,1,512,54,1.0,24.796296296296298,24.796296296296298,16.37037037037037,16.37037037037037,22.0,8.3,0.0,0.0,0.8518518518518519,0.8518518518518519,0.5370370370370371,0.5370370370370371
msmarco-passage-trec-dl-2020,dibud,1,1024,54,1.0,31.64814814814815,31.64814814814815,17.72222222222222,17.72222222222222,30.0,10.600000000000001,0.0,0.0,0.9629629629629629,0.9629629629629629,0.6851851851851852,0.6851851851851852
msmarco-passage-trec-dl-2020,dibud,1,2048,54,1.0,38.31481481481482,38.31481481481482,18.35185185185185,18.35185185185185,35.5,13.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.7592592592592593,0.7592592592592593
msmarco-passage-trec-dl-2020,dibud,1,4096,54,1.0,43.46296296296296,43.46296296296296,18.962962962962962,18.962962962962962,39.5,15.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.7962962962962963,0.7962962962962963
msmarco-passage-trec-dl-2020,dibud,1,8192,54,0.3333333333333333,46.48148148148148,81.9074074074074,19.22222222222222,19.72222222222222,43.5,15.600000000000001,0.0,0.0,1.0,1.0,0.8518518518518519,0.9444444444444444
msmarco-passage-trec-dl-2020,dibud,1,10000,54,0.14814814814814814,46.648148148148145,93.03703703703704,19.22222222222222,19.814814814814813,44.0,15.600000000000001,0.0,0.0,1.0,1.0,0.8518518518518519,0.9629629629629629
msmarco-passage-trec-dl-2020,dibud,64,128,54,1.0,10.333333333333334,10.333333333333334,9.833333333333334,9.833333333333334,9.5,3.0,0.0,0.0,0.5,0.5,0.09259259259259259,0.09259259259259259
msmarco-passage-trec-dl-2020,dibud,64,256,54,1.0,16.61111111111111,16.61111111111111,13.666666666666666,13.666666666666666,13.0,6.0,0.0,0.0,0.7222222222222222,0.7222222222222222,0.3333333333333333,0.3333333333333333
msmarco-passage-trec-dl-2020,dibud,64,512,54,1.0,24.185185185185187,24.185185185185187,16.22222222222222,16.22222222222222,21.0,8.3,0.0,0.0,0.8333333333333334,0.8333333333333334,0.5185185185185185,0.5185185185185185
msmarco-passage-trec-dl-2020,dibud,64,1024,54,1.0,31.35185185185185,31.35185185185185,17.685185185185187,17.685185185185187,29.5,10.600000000000001,0.0,0.0,0.9629629629629629,0.9629629629629629,0.6851851851851852,0.6851851851851852
msmarco-passage-trec-dl-2020,dibud,64,2048,54,1.0,38.27777777777778,38.27777777777778,18.35185185185185,18.35185185185185,35.5,13.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.7592592592592593,0.7592592592592593
msmarco-passage-trec-dl-2020,dibud,64,4096,54,1.0,43.44444444444444,43.44444444444444,18.962962962962962,18.962962962962962,39.5,15.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.7962962962962963,0.7962962962962963
msmarco-passage-trec-dl-2020,dibud,64,8192,54,0.3333333333333333,46.48148148148148,81.9074074074074,19.22222222222222,19.72222222222222,43.5,15.600000000000001,0.0,0.0,1.0,1.0,0.8518518518518519,0.9444444444444444
msmarco-passage-trec-dl-2020,dibud,64,10000,54,0.14814814814814814,46.648148148148145,93.03703703703704,19.22222222222222,19.814814814814813,44.0,15.600000000000001,0.0,0.0,1.0,1.0,0.8518518518518519,0.9629629629629629
nfcorpus,balanced,1,128,323,1.0,24.54798761609907,24.54798761609907,11.492260061919504,11.492260061919504,11.0,3.0,0.02476780185758514,0.02476780185758514,0.56656346749226,0.56656346749226,0.2476780185758514,0.2476780185758514
nfcorpus,balanced,1,256,323,1.0,29.70278637770898,29.70278637770898,14.38390092879257,14.38390092879257,17.0,5.0,0.018575851393188854,0.018575851393188854,0.7492260061919505,0.7492260061919505,0.4241486068111455,0.4241486068111455
nfcorpus,balanced,1,512,323,1.0,36.92879256965944,36.92879256965944,16.554179566563466,16.554179566563466,24.0,7.200000000000003,0.009287925696594427,0.009287925696594427,0.8699690402476781,0.8699690402476781,0.6160990712074303,0.6160990712074303
nfcorpus,balanced,1,1024,323,1.0,46.61300309597523,46.61300309597523,18.055727554179565,18.055727554179565,37.0,12.200000000000003,0.0030959752321981426,0.0030959752321981426,0.9195046439628483,0.9195046439628483,0.7647058823529411,0.7647058823529411
nfcorpus,balanced,1,2048,323,1.0,62.06191950464396,62.06191950464396,19.235294117647058,19.235294117647058,57.0,19.0,0.0,0.0,0.9721362229102167,0.9721362229102167,0.8947368421052632,0.8947368421052632
nfcorpus,balanced,1,4096,323,1.0,92.91640866873065,92.91640866873065,19.978328173374614,19.978328173374614,100.0,66.0,0.0,0.0,1.0,1.0,0.9938080495356038,0.9938080495356038
nfcorpus,balanced,1,8192,323,1.0,100.0,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
nfcorpus,balanced,1,10000,323,1.0,100.0,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
nfcorpus,balanced,64,128,323,1.0,24.54798761609907,24.54798761609907,11.492260061919504,11.492260061919504,11.0,3.0,0.02476780185758514,0.02476780185758514,0.56656346749226,0.56656346749226,0.2476780185758514,0.2476780185758514
nfcorpus,balanced,64,256,323,1.0,29.70278637770898,29.70278637770898,14.38390092879257,14.38390092879257,17.0,5.0,0.018575851393188854,0.018575851393188854,0.7492260061919505,0.7492260061919505,0.4241486068111455,0.4241486068111455
nfcorpus,balanced,64,512,323,1.0,36.92879256965944,36.92879256965944,16.554179566563466,16.554179566563466,24.0,7.200000000000003,0.009287925696594427,0.009287925696594427,0.8699690402476781,0.8699690402476781,0.6160990712074303,0.6160990712074303
nfcorpus,balanced,64,1024,323,1.0,46.61300309597523,46.61300309597523,18.055727554179565,18.055727554179565,37.0,12.200000000000003,0.0030959752321981426,0.0030959752321981426,0.9195046439628483,0.9195046439628483,0.7647058823529411,0.7647058823529411
nfcorpus,balanced,64,2048,323,1.0,62.06191950464396,62.06191950464396,19.235294117647058,19.235294117647058,57.0,19.0,0.0,0.0,0.9721362229102167,0.9721362229102167,0.8947368421052632,0.8947368421052632
nfcorpus,balanced,64,4096,323,1.0,92.91640866873065,92.91640866873065,19.978328173374614,19.978328173374614,100.0,66.0,0.0,0.0,1.0,1.0,0.9938080495356038,0.9938080495356038
nfcorpus,balanced,64,8192,323,1.0,100.0,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
