dataset,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
nfcorpus,2048,fixed_topL_zero,100,0.36619387943367865,0.3676231918106848,0.3164514054161577
nfcorpus,4096,balanced_cert,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,4096,balanced_cert,100,0.3665343037130104,0.36796361609001654,0.3100562787582181
nfcorpus,4096,balanced_zero,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,4096,balanced_zero,100,0.3665343037130104,0.36796361609001654,0.31694951684057554
nfcorpus,4096,blocker_cert,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,4096,blocker_cert,100,0.3665343037130104,0.36796361609001654,0.3116337003001736
nfcorpus,4096,blocker_zero,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,4096,blocker_zero,100,0.3665343037130104,0.36796361609001654,0.3168740052495463
nfcorpus,4096,fixed_topL_zero,20,0.3665041392117707,0.3679334515887769,0.21314268286443275
nfcorpus,4096,fixed_topL_zero,100,0.3665041392117707,0.3679334515887769,0.31703562378626315
nfcorpus,8192,balanced_cert,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,8192,balanced_cert,100,0.3665343037130104,0.36796361609001654,0.3168740052495463
nfcorpus,8192,balanced_zero,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,8192,balanced_zero,100,0.3665343037130104,0.36796361609001654,0.3168740052495463
nfcorpus,8192,blocker_cert,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,8192,blocker_cert,100,0.3665343037130104,0.36796361609001654,0.3168740052495463
nfcorpus,8192,blocker_zero,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,8192,blocker_zero,100,0.3665343037130104,0.36796361609001654,0.3168740052495463
nfcorpus,8192,fixed_topL_zero,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,8192,fixed_topL_zero,100,0.3665343037130104,0.36796361609001654,0.3168740052495463
nfcorpus,10000,balanced_cert,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,10000,balanced_cert,100,0.3665343037130104,0.36796361609001654,0.3168740052495463
nfcorpus,10000,balanced_zero,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,10000,balanced_zero,100,0.3665343037130104,0.36796361609001654,0.3168740052495463
nfcorpus,10000,blocker_cert,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,10000,blocker_cert,100,0.3665343037130104,0.36796361609001654,0.3168740052495463
nfcorpus,10000,blocker_zero,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,10000,blocker_zero,100,0.3665343037130104,0.36796361609001654,0.3168740052495463
nfcorpus,10000,fixed_topL_zero,20,0.3665343037130104,0.36796361609001654,0.21314268286443275
nfcorpus,10000,fixed_topL_zero,100,0.3665343037130104,0.36796361609001654,0.3168740052495463
scifact,128,balanced_cert,20,0.7340794513515553,0.7340794513515553,0.8528888888888889
scifact,128,balanced_cert,100,0.7340794513515553,0.7340794513515553,0.8528888888888889
scifact,128,balanced_zero,20,0.7415379997474305,0.7415379997474305,0.9102222222222223
scifact,128,balanced_zero,100,0.7415379997474305,0.7415379997474305,0.9633333333333334
scifact,128,blocker_cert,20,0.7340794513515553,0.7340794513515553,0.8528888888888889
scifact,128,blocker_cert,100,0.7340794513515553,0.7340794513515553,0.8528888888888889
scifact,128,blocker_zero,20,0.7415379997474305,0.7415379997474305,0.9102222222222223
scifact,128,blocker_zero,100,0.7415379997474305,0.7415379997474305,0.9633333333333334
scifact,128,fixed_topL_zero,20,0.7415379997474305,0.7415379997474305,0.9102222222222223
scifact,128,fixed_topL_zero,100,0.7415379997474305,0.7415379997474305,0.9633333333333334
scifact,256,balanced_cert,20,0.7397729261989315,0.7397729261989315,0.8745555555555555
scifact,256,balanced_cert,100,0.7397729261989315,0.7397729261989315,0.8778888888888889
scifact,256,balanced_zero,20,0.7409602834892917,0.7409602834892917,0.9058888888888889
scifact,256,balanced_zero,100,0.7409602834892917,0.7409602834892917,0.9616666666666667
scifact,256,blocker_cert,20,0.7397729261989315,0.7397729261989315,0.8745555555555555
scifact,256,blocker_cert,100,0.7397729261989315,0.7397729261989315,0.8778888888888889
scifact,256,blocker_zero,20,0.7409602834892917,0.7409602834892917,0.9058888888888889
scifact,256,blocker_zero,100,0.7409602834892917,0.7409602834892917,0.9616666666666667
scifact,256,fixed_topL_zero,20,0.7409602834892917,0.7409602834892917,0.9058888888888889
scifact,256,fixed_topL_zero,100,0.7409602834892917,0.7409602834892917,0.9616666666666667
scifact,512,balanced_cert,20,0.7441578091215506,0.7441578091215506,0.8985555555555556
scifact,512,balanced_cert,100,0.7441578091215506,0.7441578091215506,0.9143333333333333
scifact,512,balanced_zero,20,0.7441578091215506,0.7441578091215506,0.9085555555555556
scifact,512,balanced_zero,100,0.7441578091215506,0.7441578091215506,0.9616666666666667
scifact,512,blocker_cert,20,0.7441578091215506,0.7441578091215506,0.8985555555555556
scifact,512,blocker_cert,100,0.7441578091215506,0.7441578091215506,0.9176666666666666
scifact,512,blocker_zero,20,0.7441578091215506,0.7441578091215506,0.9085555555555556
scifact,512,blocker_zero,100,0.7441578091215506,0.7441578091215506,0.965
