dataset,query_id,policy,work_budget,dense_depth,sparse_depth,dense_work_share,absolute_depth_gap,certified_k_cap100,certified_at_least_100,next_certificate_gap,seen_candidates,returned_ndcg_at10,full_ndcg_at10,ndcg_retention,returned_recall_at100,full_recall_at100,recall_retention
msmarco-passage-trec-dl-2019,359349,balanced,10000,5000,5000,0.5,0,100,1,-inf,9438,0.7253249133197388,0.7253249133197388,1.0,0.6785714285714286,0.6785714285714286,1.0
msmarco-passage-trec-dl-2019,359349,blocker,128,64,64,0.5,0,21,0,-0.00021900609135627747,96,0.7253249133197388,0.7253249133197388,1.0,0.32142857142857145,0.6785714285714286,0.4736842105263158
msmarco-passage-trec-dl-2019,359349,blocker,256,128,128,0.5,0,34,0,-0.00012802332639694214,192,0.7253249133197388,0.7253249133197388,1.0,0.375,0.6785714285714286,0.5526315789473684
msmarco-passage-trec-dl-2019,359349,blocker,512,256,256,0.5,0,49,0,-4.484690725803375e-05,369,0.7253249133197388,0.7253249133197388,1.0,0.42857142857142855,0.6785714285714286,0.631578947368421
msmarco-passage-trec-dl-2019,359349,blocker,1024,512,512,0.5,0,66,0,-1.463666558265686e-05,706,0.7253249133197388,0.7253249133197388,1.0,0.5178571428571429,0.6785714285714286,0.7631578947368421
msmarco-passage-trec-dl-2019,359349,blocker,2048,1024,1024,0.5,0,100,1,-inf,1630,0.7253249133197388,0.7253249133197388,1.0,0.6785714285714286,0.6785714285714286,1.0
msmarco-passage-trec-dl-2019,359349,blocker,4096,2048,2048,0.5,0,100,1,-inf,3613,0.7253249133197388,0.7253249133197388,1.0,0.6785714285714286,0.6785714285714286,1.0
msmarco-passage-trec-dl-2019,359349,blocker,8192,4096,4096,0.5,0,100,1,-inf,7657,0.7253249133197388,0.7253249133197388,1.0,0.6785714285714286,0.6785714285714286,1.0
msmarco-passage-trec-dl-2019,359349,blocker,10000,5000,5000,0.5,0,100,1,-inf,9438,0.7253249133197388,0.7253249133197388,1.0,0.6785714285714286,0.6785714285714286,1.0
msmarco-passage-trec-dl-2019,359349,pressure,128,64,64,0.5,0,21,0,-0.00021900609135627747,96,0.7253249133197388,0.7253249133197388,1.0,0.32142857142857145,0.6785714285714286,0.4736842105263158
msmarco-passage-trec-dl-2019,359349,pressure,256,128,128,0.5,0,34,0,-0.00012802332639694214,192,0.7253249133197388,0.7253249133197388,1.0,0.375,0.6785714285714286,0.5526315789473684
