dataset,snapshot,policy,batch,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds,baseline_cost_lower,capped_cost_upper,ndcg20_upper,query_id,budget,target,fold
msmarco-passage-trec-dl-2019,0,dibud,1,720,446,274,1,cap100,100,100,100,20,0.4353916603916135,0.4353916603916135,199,1,199,0.0207459926605224,199.0,199.0,0.4353916603916135,915593,10000,0.99,1
msmarco-passage-trec-dl-2019,0,dibud,1,10000,2734,7266,1,budget,17,17,17,17,0.1637675566773413,0.1637675566773413,35083,1,10000,2.3909356594085693,35083.0,10000.0,0.1637675566773413,1037798,10000,0.99,2
msmarco-passage-trec-dl-2019,0,dibud,1,10000,1470,8530,1,budget,25,25,25,20,0.5218081021710331,0.5218081021710331,9600,1,9600,0.2618610858917236,9600.0,9600.0,0.5218081021710331,1110199,10000,0.99,2
msmarco-passage-trec-dl-2019,0,dibud,1,10000,2958,7042,1,budget,33,33,33,20,0.591704508961238,0.591704508961238,1119,1,1119,0.279412031173706,1119.0,1119.0,0.591704508961238,1112341,10000,0.99,2
msmarco-passage-trec-dl-2019,0,dibud,1,10000,4770,5230,1,budget,7,7,7,7,0.4185167840383923,0.6282923757275933,43175,1,10000,0.6305930614471436,43175.0,10000.0,0.4185167840383923,1124210,10000,0.99,2
msmarco-passage-trec-dl-2019,0,dibud,1,10000,8657,1343,1,budget,40,40,40,20,0.8589067191579817,0.8589067191579817,103,1,103,0.1136019229888916,103.0,103.0,0.8589067191579817,130510,10000,0.99,2
msmarco-passage-trec-dl-2019,0,dibud,1,10000,8375,1625,1,budget,85,85,85,20,0.714082561191865,0.714082561191865,226,1,226,0.1031150817871093,226.0,226.0,0.714082561191865,264014,10000,0.99,2
msmarco-passage-trec-dl-2019,0,dibud,1,10000,3042,6958,1,budget,67,67,67,20,0.3604873505400204,0.3604873505400204,703,1,703,0.1011168956756591,703.0,703.0,0.3604873505400204,489204,10000,0.99,2
msmarco-passage-trec-dl-2019,0,dibud,1,10000,7278,2722,1,budget,96,96,96,20,0.5485313500927161,0.5485313500927161,1368,1,1368,0.101341962814331,1368.0,1368.0,0.5485313500927161,527433,10000,0.99,2
msmarco-passage-trec-dl-2019,0,dibud,1,8488,4519,3969,1,cap100,100,100,100,20,0.7676881394093797,0.7676881394093797,173,1,173,0.0893340110778808,173.0,173.0,0.7676881394093797,87181,10000,0.99,2
msmarco-passage-trec-dl-2019,0,dibud,1,10000,4601,5399,1,budget,51,51,51,20,0.8544371755254724,0.8544371755254724,115,1,115,0.1969890594482422,115.0,115.0,0.8544371755254724,1121402,10000,0.99,3
msmarco-passage-trec-dl-2019,0,dibud,1,10000,5000,5000,1,budget,11,11,11,11,0.6633545822690573,0.8496160394118507,196410,1,10000,1.8542299270629885,196410.0,10000.0,0.6633545822690573,131843,10000,0.99,3
msmarco-passage-trec-dl-2019,0,dibud,1,10000,566,9434,1,budget,70,70,70,20,0.7582482245778552,0.7582482245778552,214,1,214,0.1138851642608642,214.0,214.0,0.7582482245778552,146187,10000,0.99,3
msmarco-passage-trec-dl-2019,0,dibud,1,605,350,255,1,cap100,100,100,100,20,1.0,1.0,175,1,175,0.0205409526824951,175.0,175.0,1.0,168216,10000,0.99,3
msmarco-passage-trec-dl-2019,0,dibud,1,10000,4326,5674,1,budget,63,63,63,20,0.90514894987294,0.90514894987294,222,1,222,0.1023838520050048,222.0,222.0,0.90514894987294,183378,10000,0.99,3
